DATE,MDSTHPI
1996-01-01,217.47
1996-04-01,215.07
1996-07-01,213.28
1996-10-01,215.86
1997-01-01,216.63
1997-04-01,215.57
1997-07-01,217.42
1997-10-01,219.94
1998-01-01,222.68
1998-04-01,222.47
1998-07-01,223.79
1998-10-01,225.98
1999-01-01,228.44
1999-04-01,229.34
1999-07-01,231.37
1999-10-01,233.97
2000-01-01,238.43
2000-04-01,240.97
2000-07-01,245.41
2000-10-01,249.2
2001-01-01,254.95
2001-04-01,259.94
2001-07-01,266.83
2001-10-01,271.14
2002-01-01,277.9
2002-04-01,287.03
2002-07-01,295.98
2002-10-01,302.02
2003-01-01,307.81
2003-04-01,314.47
2003-07-01,324.04
2003-10-01,341.55
2004-01-01,351.07
2004-04-01,367.54
2004-07-01,394.52
2004-10-01,408.14
2005-01-01,426.25
2005-04-01,452.13
2005-07-01,475.56
2005-10-01,494.71
2006-01-01,508.39
2006-04-01,518.83
2006-07-01,525.85
2006-10-01,532.65
2007-01-01,534.37
2007-04-01,535.36
2007-07-01,527.65
2007-10-01,524.78
2008-01-01,516.76
2008-04-01,498.91
2008-07-01,478.69
2008-10-01,471.5
2009-01-01,466.8
2009-04-01,448.65
2009-07-01,437.54
2009-10-01,429.94
2010-01-01,426.66
2010-04-01,421.41
2010-07-01,426.79
2010-10-01,422.7
2011-01-01,409.93
2011-04-01,401.81
2011-07-01,407.86
2011-10-01,409.75
2012-01-01,403.87
2012-04-01,399.95
2012-07-01,405.39
2012-10-01,406.87
2013-01-01,406.87
2013-04-01,410.6
2013-07-01,412.16
2013-10-01,412.88
2014-01-01,414.08
2014-04-01,420.69
2014-07-01,423.51
2014-10-01,427.15
2015-01-01,429.69
2015-04-01,432.66
2015-07-01,432.58
2015-10-01,433.65
2016-01-01,437.47
2016-04-01,442.15
2016-07-01,447.91
