DATE,USSTHPI
2003-01-01,279.78
2003-04-01,283.2
2003-07-01,287.57
2003-10-01,295.7
2004-01-01,300.36
2004-04-01,307.69
2004-07-01,319.41
2004-10-01,326.25
2005-01-01,333.72
2005-04-01,344.42
2005-07-01,354.89
2005-10-01,362.92
2006-01-01,368.68
2006-04-01,372.46
2006-07-01,375.52
2006-10-01,379.35
2007-01-01,380.77
2007-04-01,380.52
2007-07-01,376.27
2007-10-01,375.06
2008-01-01,372.31
2008-04-01,362.92
2008-07-01,351.48
2008-10-01,348.24
2009-01-01,350.82
2009-04-01,341.62
2009-07-01,332.7
2009-10-01,330.18
2010-01-01,326.24
2010-04-01,323.27
2010-07-01,326.42
2010-10-01,324.1
2011-01-01,315.1
2011-04-01,309.57
2011-07-01,311.87
2011-10-01,313.31
2012-01-01,310.03
2012-04-01,308.62
2012-07-01,312.74
2012-10-01,315.18
2013-01-01,316.75
2013-04-01,321.59
2013-07-01,326.22
2013-10-01,328.83
2014-01-01,331.55
2014-04-01,337.97
2014-07-01,342.87
2014-10-01,345.64
2015-01-01,349.45
2015-04-01,355.12
2015-07-01,360.17
2015-10-01,363.08
2016-01-01,366.43
2016-04-01,373.29
2016-07-01,379.94
2016-10-01,382.9
2017-01-01,385.69
2017-04-01,394.31
2017-07-01,400.41
2017-10-01,403.75
2018-01-01,409.42
2018-04-01,416.98
2018-07-01,422.07
2018-10-01,423.52
2019-01-01,428.24
2019-04-01,435.38
2019-07-01,440.92
2019-10-01,444.85
2020-01-01,450.0
2020-04-01,454.49
2020-07-01,462.43
2020-10-01,472.6
2021-01-01,483.96
2021-04-01,510.9
2021-07-01,539.41
2021-10-01,558.11
2022-01-01,578.71
2022-04-01,617.95
2022-07-01,628.4
2022-10-01,623.26
2023-01-01,625.38
