Quarter,Quarterly_Interest_Rates
2003-03-31,1.2466666666666668
2003-06-30,1.0166666666666666
2003-09-30,0.9966666666666666
2003-12-31,1.0033333333333332
2004-03-31,1.01
2004-06-30,1.4333333333333333
2004-09-30,1.95
2004-12-31,2.4699999999999998
2005-03-31,2.9433333333333334
2005-06-30,3.4599999999999995
2005-09-30,3.98
2005-12-31,4.456666666666667
2006-03-31,4.906666666666667
2006-06-30,5.246666666666667
2006-09-30,5.246666666666667
2006-12-31,5.256666666666667
2007-03-31,5.25
2007-06-30,5.073333333333333
2007-09-30,4.496666666666667
2007-12-31,3.1766666666666663
2008-03-31,2.0866666666666664
2008-06-30,1.9400000000000002
2008-09-30,0.5066666666666666
2008-12-31,0.18333333333333335
2009-03-31,0.17999999999999997
2009-06-30,0.15666666666666665
2009-09-30,0.12
2009-12-31,0.13333333333333333
2010-03-31,0.19333333333333336
2010-06-30,0.18666666666666668
2010-09-30,0.18666666666666668
2010-12-31,0.15666666666666668
2011-03-31,0.09333333333333334
2011-06-30,0.08333333333333333
2011-09-30,0.07333333333333335
2011-12-31,0.10333333333333333
2012-03-31,0.15333333333333335
2012-06-30,0.14333333333333334
2012-09-30,0.16
2012-12-31,0.14333333333333334
2013-03-31,0.11666666666666665
2013-06-30,0.08333333333333333
2013-09-30,0.08666666666666667
2013-12-31,0.07333333333333335
2014-03-31,0.09333333333333334
2014-06-30,0.09000000000000001
2014-09-30,0.09999999999999999
2014-12-31,0.11
2015-03-31,0.12333333333333334
2015-06-30,0.1366666666666667
2015-09-30,0.16
2015-12-31,0.36000000000000004
2016-03-31,0.37333333333333335
2016-06-30,0.39666666666666667
2016-09-30,0.45
2016-12-31,
